# ticker date stockPrice numberOfShares marketCapitalization minusCashAndCashEquivalents addTotalDebt enterpriseValue date revenuePerShare netIncomePerShare operatingCashFlowPerShare freeCashFlowPerShare cashPerShare bookValuePerShare tangibleBookValuePerShare shareholdersEquityPerShare interestDebtPerShare marketCap enterpriseValue peRatio priceToSalesRatio pocfratio pfcfRatio pbRatio ptbRatio evToSales enterpriseValueOverEBITDA evToOperatingCashFlow evToFreeCashFlow earningsYield freeCashFlowYield debtToEquity debtToAssets netDebtToEBITDA currentRatio interestCoverage incomeQuality dividendYield payoutRatio salesGeneralAndAdministrativeToRevenue researchAndDdevelopementToRevenue intangiblesToTotalAssets capexToOperatingCashFlow capexToRevenue capexToDepreciation stockBasedCompensationToRevenue grahamNumber roic returnOnTangibleAssets grahamNetNet workingCapital tangibleAssetValue netCurrentAssetValue investedCapital averageReceivables averagePayables averageInventory daysSalesOutstanding daysPayablesOutstanding daysOfInventoryOnHand receivablesTurnover payablesTurnover inventoryTurnover roe capexPerShare tag_id
BARC.L 2020-12-31 133.539993 17200000000.000000 2296887879600.000000 191127000000.000000 0.000000 2105760879600.000000 2020-12-31 1.256686 0.088721 3.343314 3.266337 11.112035 3.825407 3.426395 3.825407 0.219186 2296887879600.000000 2105760879600.000000 1505.168991 106.263608 39.942403 40.883713 34.908702 34.908702 97.421276 None 36.618744 37.481727 0.000664 0.024460 0.000000 0.950440 None None 0.000000 37.683486 0.000408 0.613368 0.077909 0.000000 0.005890 -43.432779 -16.325529 -1.309668 0.000000 2.763396 None 0.001137 -63.459593 None 58934000000.000000 None 0.000000 None None None 0.000000 None None None None None 0.023193 -0.076977 0
VOD.L 2021-03-31 136.800000 29592000000.000000 4048185600000.000488 5821000000.000000 0.000000 4042364600000.000488 2021-03-31 1.480434 0.003785 0.581745 0.289774 0.506218 1.885780 0.144194 1.885780 0.034705 4048185600000.000488 4042364600000.000488 36144.514286 92.405341 235.154551 472.091615 72.542929 72.542929 92.272469 663.661895 234.816416 471.412781 0.000028 0.002118 0.000000 0.627145 -0.955672 0.984640 5.276534 153.705357 0.000600 21.669643 0.122121 0.000000 0.345337 -1.992477 -5.070486 0.000000 0.000000 0.400736 0.042888 0.001103 -2.768620 -441000000.000000 4267000000.000000 -68977000000.000000 0.000000 None 12334500000.000000 630500000.000000 0.000000 219.223227 8.201157 None 1.664970 44.505917 0.002007 -0.291971 1
BMW.DE 2020-12-31 70.010002 658118053.000000 46074846206.766106 13537000000.000000 85071000000.000000 117608846206.766113 2020-12-31 150.413743 5.736053 20.134685 10.789857 28.330783 92.522914 74.725195 92.522914 129.959966 46074846206.766106 117608846206.766113 12.205257 0.465450 3.477084 6.488501 0.756677 0.756677 1.188088 10.790792 8.875469 16.562294 0.081932 0.154119 0.992560 0.716050 6.563354 1.136793 10.393013 3.510199 0.036267 0.442649 0.035307 0.000000 0.056965 -2.154634 -16.095935 -0.998211 0.000000 109.275420 0.032897 0.018476 -196.463992 9844000000.000000 49178000000.000000 -73331000000.000000 1.397103 None 9413000000.000000 14826000000.000000 0.000000 36.941036 61.509987 None 9.880611 5.933996 0.061996 -9.344828 2
DBK.DE 2020-12-31 8.369000 2110000000.000000 17658590000.000000 175338000000.000000 154342000000.000000 -3337410000.000000 2020-12-31 11.321801 0.228910 14.566825 14.324171 106.632227 28.719431 26.284360 28.719431 76.183412 17658590000.000000 -3337410000.000000 36.560228 0.739193 0.574525 0.584257 0.291405 0.291405 -0.139705 None -0.108583 -0.110423 0.027352 1.711575 2.517212 0.953067 None None 0.000000 63.635611 None 0.000000 0.688308 0.000000 0.005076 -60.031250 -46.658203 0.000000 0.000000 12.162182 None 0.000366 -464.396919 None 55460000000.000000 None 2.546982 72073500000.000000 77628500000.000000 None 1179.630374 None None 0.309419 0.000000 None 0.007971 -0.242654 3
TSLA 2020-12-31 793.530029 690000000.000000 547535720010.000000 19384000000.000000 11739000000.000000 539890720010.000000 2020-12-31 45.704348 1.000000 8.613043 3.914493 28.092754 32.210145 32.688406 32.210145 18.097101 547535720010.000000 539890720010.000000 793.530029 17.362244 92.131200 202.715927 24.636028 24.636028 17.119822 125.090528 90.844812 199.885494 0.001260 0.004933 0.432261 0.557509 -1.771316 1.875140 2.665775 8.613043 None 0.000000 0.099727 0.047279 0.009972 -1.833128 -9.727329 -0.716225 0.054985 26.920777 0.052612 0.013365 -9.020290 12469000000.000000 22555000000.000000 -2356000000.000000 0.528189 1605000000.000000 4911000000.000000 3826500000.000000 21.828704 88.678029 60.100578 16.721103 4.116014 6.073153 0.031046 -4.698551 4
LLOY.L 2020-12-31 33.000000 70606000000.000000 2329998000000.000000 73556000000.000000 0.000000 2256442000000.000000 2020-12-31 0.415248 0.018667 0.384826 0.343738 1.041781 0.696598 0.608348 0.696598 0.052857 2329998000000.000000 2256442000000.000000 1767.828528 79.470582 85.753119 96.003214 47.373089 47.373089 76.961765 None 83.045968 92.972476 0.000566 0.010416 0.000000 0.943286 None None 0.000000 20.615326 0.000194 0.343703 0.040997 0.000000 0.007414 -9.366081 -10.106515 -0.941744 0.000000 0.540903 None 0.001524 -10.598249 None 42953000000.000000 None 0.000000 None None None 0.000000 None None None None None 0.026797 -0.041087 5
1COV.DE 2020-12-31 56.160000 182728724.000000 10262045139.840000 1404000000.000000 2217000000.000000 11075045139.840000 2020-12-31 58.589584 2.511920 6.753180 2.900474 11.902891 30.684831 28.895293 30.684831 12.636218 10262045139.840000 11075045139.840000 22.357397 0.958532 8.316082 19.362349 1.830220 1.830220 1.034471 7.457943 8.974915 20.896312 0.044728 0.051647 0.305868 0.563293 0.547475 2.618443 7.706522 2.688453 0.021536 0.481481 0.028956 0.024472 0.028165 -1.752841 -15.207386 -1.102273 0.000000 41.644347 0.067140 0.036545 -23.395337 3826000000.000000 5280000000.000000 -1090000000.000000 0.395399 None 1374000000.000000 1787500000.000000 0.000000 55.192519 73.827221 None 6.613215 4.943976 0.081862 -3.852706 7
1SI.DE 2020-12-31 43.209999 1455693000.000000 62900493074.307007 545618000.000000 1675169000.000000 64030044074.307007 2020-12-31 1.721947 -0.649065 -0.115164 -0.154893 1.743183 1.600596 0.882595 1.600596 1.217562 62900493074.307007 64030044074.307007 -66.572710 25.093689 -375.202769 -278.967576 26.996198 26.996198 25.544315 -82.584460 -381.940565 -283.977204 -0.015021 -0.003585 0.718964 0.536253 -1.456869 5.002008 -8.866499 0.177431 None 0.000000 0.211106 0.439460 0.208029 2.898810 -43.343236 -1.499931 0.307258 4.834773 -0.197863 -0.237453 0.275810 2670648000.000000 1284788000.000000 643713000.000000 0.718964 618241000.000000 59397000.000000 None 108.378801 22.195610 0.000000 3.367817 16.444693 None -0.405514 -0.039728 11
A 2020-10-31 116.900002 308000000.000000 36005200616.000000 1441000000.000000 2359000000.000000 36923200616.000000 2020-10-31 17.334416 2.334416 2.990260 2.603896 5.191558 15.821429 1.428571 15.821429 7.912338 36005200616.000000 36923200616.000000 50.076774 6.743810 39.093595 44.894265 7.388713 7.388713 6.915752 31.995841 40.090337 46.038904 0.019969 0.022275 0.468705 0.493819 0.795494 2.327880 10.846154 1.280946 0.006166 0.308762 0.280202 0.092714 0.460476 -7.739496 -44.865546 -2.588235 0.015546 28.827249 0.103676 0.138429 -6.547078 1948000000.000000 440000000.000000 -1339000000.000000 0.484096 984000000.000000 354000000.000000 699500000.000000 70.962727 51.642686 105.035971 5.143545 7.067797 3.475000 0.147548 -0.386364 221
AA.L 2020-01-31 43.820000 615000000.000000 26949300000.000000 79000000.000000 2506000000.000000 29376300000.000000 2020-01-31 1.617886 0.141463 0.515447 0.403252 0.128455 -2.570732 -4.772358 -2.570732 4.292683 26949300000.000000 29376300000.000000 309.762069 27.084724 85.013565 108.666532 -17.045731 -17.045731 29.523920 85.148696 92.669716 118.452823 0.003228 0.009202 -1.585073 1.825587 7.034783 0.574932 1.910448 3.643678 0.000445 0.137931 0.347739 0.000000 0.707050 -4.594203 -14.420290 -1.289855 0.000000 2.860498 0.216765 0.155080 -5.552846 -312000000.000000 -2935000000.000000 -3074000000.000000 -1.585073 None 100000000.000000 4000000.000000 0.000000 104.020356 3.715013 None 3.508929 98.250000 -0.055028 -0.112195 222
