# tag pbvalue tag_id
VOD.L 0.793500 1
TSLA 26.400000 4
A 8.664000 221
AA.L 2.243000 222
AA 2.243000 223
AAC 1.316000 227
AACAY 2.280000 228
AACG 3.453000 229
AACQ 180.400000 230
AAGIY 2.536000 234
AAIC 0.660800 235
AAME 0.657600 241
AAN 1.756000 242
AAOI 0.792000 244
AAON 9.857000 245
AAP 3.459000 246
AAPL 30.220000 250
AAQC 1.289000 251
AAU.L 1.156000 254
AAVMY 0.504300 255
AAWW 0.920000 256
AB 2.786000 258
ABB 5.050000 259
ABBV 14.470000 262
ABCB 1.393000 265
ABCL 7.685000 266
ABCM 5.300000 267
ABCP 1.910000 268
ABEO 1.731000 275
ABEPF 2.322000 276
ABEV 3.734000 277
ABG 3.865000 279
ABGI 1.312000 280
ABIO 0.752100 282
ABM 2.138000 284
ABMD 9.738000 285
ABML 205.890000 286
ABNB 27.980000 288
ABR 1.679000 291
ABT 6.125000 292
ABTX 1.077000 293
AC 0.879500 295
AC.PA 0.879500 296
ACA 1.606000 297
ACA.PA 1.606000 298
ACAC 1.405000 299
ACAD 6.070000 300
ACAH 1.497000 301
ACAN 5.706000 302
ACB 1.029000 303
ACBI 1.687000 304
ACC 2.079000 305
ACCD 7.666000 307
ACCO 1.218000 309
ACCYY 2.062000 310
ACEL 9.251000 311
ACER 4.069000 312
ACET 1.767000 313
ACEV 1.547000 314
ACGL 1.300000 315
ACH 1.188000 316
ACHC 2.489000 317
ACHL 2.861000 319
ACHV 1.627000 320
ACI.L 6.686000 321
ACI 6.686000 322
ACIU 2.108000 324
ACIW 3.839000 325
ACLS 2.823000 327
ACM 3.395000 328
ACMR 9.875000 329
ACN 9.723000 332
ACNB 0.966900 333
ACND 1.390000 334
ACOPY 3.599000 336
ACOR 0.114600 337
ACRDF 1.153000 340
ACRHF 2.029000 341
ACRS 10.030000 343
ACSAY 1.986000 346
ACST 4.103000 348
ACTC 4.167000 351
ACTG 2.248000 352
ACU 2.299000 353
ACUIF 20.550000 354
ACVA 6.727000 355
ADAP 2.540000 363
ADBE 17.580000 364
ADC 1.600000 365
ADCT 5.729000 366
ADDYY 8.957000 367
ADER 1.358000 369
ADES.L 1.521000 370
ADES 1.521000 371
ADEX 13588.780000 372
ADI 4.948000 373
ADIL 7.571000 375
ADM.L 1.785000 379
ADM 1.785000 380
ADMA 1.983000 381
ADMP 28.520000 382
ADMS 38.700000 383
ADMT 3.243000 384
ADN 4.490000 385
ADNT 3.155000 387
ADOC 1.284000 388
ADOM 1.260000 389
ADP 14.790000 390
ADP.PA 14.790000 391
ADPT 7.314000 392
ADPXY 104.930000 393
ADRA 1.246000 394
ADRNY 1.961000 395
ADRZY 3.945000 396
ADS 3.435000 397
ADS.DE 3.435000 398
ADSK 65.340000 399
ADT 2.889000 400
ADTN 2.624000 402
ADTX 3.390000 403
ADUS 2.881000 404
ADV.L 1.636000 405
ADV 1.636000 406
ADV.DE 1.636000 407
ADVM 0.831000 409
ADXN 3.242000 411
ADXS 1.805000 412
ADYEY 46.700000 414
AE 0.760000 416
AEAC 12556.310000 417
AEE 2.337000 419
AEG.L 0.346300 420
AEHL 0.804300 422
AEHR 4.771000 423
AEI 0.669500 424
AEIS 4.634000 425
AEL 0.490400 426
AEM 3.063000 427
AEMD 1.866000 429
AENZ 0.774600 432
AEO 5.116000 433
AEP 2.038000 434
AEP.L 2.038000 435
AER 0.844000 436
AES 7.234000 438
AESE 2.986000 439
AEXAY 0.870000 444
AEY 2.718000 446
AEYE 8.549000 447
AEZS 1.624000 448
AFBI 0.741800 452
AFCG 1.421000 454
AFG 1.689000 455
AFI 0.531500 457
AFIB 4.152000 458
AFIN 0.604200 459
AFL 1.203000 460
AFMD 12.160000 462
AFRM 6.317000 463
AFTPY 16.210000 464
AFYA 3.973000 467
AG 5.161000 468
AGBA 1.241000 471
AGC 2.009000 473
AGCB 1.366000 474
AGCO 3.387000 475
AGESY 0.850500 481
AGFS 0.445000 483
AGFY 1.288000 485
AGIO 1.531000 490
AGLE 2.678000 493
AGLXY 0.950000 494
AGM 1.542000 495
AGM.L 1.542000 496
AGMH 92.090000 498
AGNC 0.983900 500
AGO 0.554800 501
AGOL 6.426000 502
AGR 1.322000 503
AGR 1.322000 504
AGR.L 1.322000 505
AGRO 1.301000 506
AGRO 1.301000 507
AGRPY 1.058000 508
AGRX 4.155000 510
AGS 8.193000 511
AGS 8.193000 512
AGTC 1.864000 515
AGTI 5.833000 516
AGX 2.443000 517
AGYS 15.620000 519
AHAC 1.527000 520
AHC 0.903100 521
AHCHY 1.290000 522
AHCO 1.930000 523
AHEXY 2.786000 524
AHKSY 1.147000 525
AHPI 1.628000 527
AI.PA 5.939000 530
AI 5.939000 531
AIAGY 0.994300 532
AIG 0.727300 536
AIH 3.636000 546
AIHS 14.160000 547
AIKI 0.935000 548
AIM 1.416000 549
AIMC 2.129000 550
AIN 3.455000 551
AINV 0.886000 553
AIQUY 3.524000 554
AIR.PA 1.567000 555
AIR.DE 1.567000 556
AIR 1.567000 557
AIR.L 1.567000 558
AIRC 5.457000 559
AIRG 4.114000 561
AIRI 2.636000 562
AIRT 3.075000 563
AIT 4.027000 564
AIV 2.017000 565
AIZ 1.678000 567
AJAX 1.272000 568
AJG 4.484000 570
AJG.L 4.484000 571
AJINY 2.135000 572
AJRD 13.980000 575
AJX 0.778700 576
AKABY 9.132000 578
AKAM 4.326000 579
AKBA 2.620000 580
AKBTY 0.393000 581
AKIC 15855.540000 583
AKOM 0.633300 586
AKRO 3.750000 587
AKTS 4.068000 588
AKTX 7.626000 589
AKUS 1.565000 590
AKZOY 3.440000 593
AL 0.835900 594
ALAC 6.713000 595
ALB 3.424000 597
ALBO 4.300000 599
ALBY 0.891700 600
ALC 1.816000 601
ALC 1.816000 602
ALC.SW 1.816000 603
ALCO 1.079000 605
ALDX 5.417000 607
ALE 1.544000 608
ALEC 6.348000 609
ALEX 1.236000 611
ALFVY 4.376000 616
ALG 2.839000 617
ALGM 8.645000 620
ALGN 13.990000 621
ALGS 5.713000 622
ALGT 5.703000 623
ALHC 13.230000 625
ALIZY 1.180000 630
ALJJ 4.179000 631
ALK 3.050000 632
ALKS 3.444000 634
ALL 1.655000 636
ALLE 17.330000 637
ALLK 8.623000 640
ALLO 3.275000 642
ALLT 5.329000 643
ALLY 1.388000 644
ALNA 2.700000 649
ALNPY 1.104000 650
ALNY 17.800000 651
ALOT 1.568000 653
ALPMY 2.240000 655
ALPN 4.582000 656
ALPP 11.960000 657
ALRM 7.347000 660
ALRN 1.838000 661
ALRS 1.718000 662
ALSK 1.090000 664
ALSMY 5.358000 665
ALSN 6.147000 666
ALSN.SW 6.147000 667
ALT 2.008000 668
ALT.L 2.008000 669
ALTA 2.482000 670
ALTG 3.106000 671
ALTO 1.639000 674
ALTR 12.670000 675
ALUS 1.704000 679
ALV 3.710000 680
ALV.DE 3.710000 681
ALVR 4.393000 682
ALX 6.797000 685
ALXN 3.151000 686
ALXO 5.427000 687
AM 1.995000 689
AM.PA 1.995000 690
AMADY 7.710000 692
AMAL 0.941300 694
AMAL.L 0.941300 695
AMAT 10.550000 698
AMBA 7.784000 699
AMBBY 15.360000 700
AMBC 0.650600 701
AMBO 3.542000 703
AMBZ 1.293000 704
AMCR 3.942000 707
AMCX 3.342000 709
AMD.DE 14.710000 710
AMD 14.710000 711
AME 5.070000 714
AMED 10.780000 715
AMEH 5.481000 716
AMG 2.606000 720
AMG.AS 2.606000 721
AMGN 14.480000 722
AMH 2.073000 724
AMHC 1.384000 725
AMIGY 7.935000 726
AMK 2.052000 727
AMKBY 1.766000 728
AMKR 2.112000 729
AMN 4.704000 733
AMNB 1.112000 734
AMNF 4.862000 735
AMOT 3.427000 738
AMOV 4.516000 739
AMP 5.484000 740
AMPE 21.350000 741
AMPG 3.995000 742
AMPH 2.254000 743
AMPI 1.309000 744
AMR 1.991000 746
AMRB 1.219000 747
AMRC 4.413000 748
AMRK 1.864000 749
AMRN 2.874000 750
AMRX 2.574000 752
AMS.L 0.786000 753
AMS 0.786000 754
AMS 0.786000 755
AMS.SW 0.786000 756
AMSC 3.385000 757
AMSF 2.810000 758
AMSIY 1.951000 759
AMSSY 1.312000 760
AMST 3.706000 761
AMSWA 5.479000 762
AMT 29.750000 763
AMTB 1.143000 764
AMTBB 0.846400 765
AMTI 16.620000 767
AMWD 1.970000 770
AMWL 2.524000 771
AMX 4.564000 772
AMYT 7.754000 773
AMYT.L 7.754000 774
AMZN 15.770000 779
AN 2.594000 781
ANAB 1.742000 783
ANAT 0.623900 785
ANDA 3.957000 787
ANDE 1.048000 788
ANET 7.455000 791
ANF 2.903000 792
ANGI 5.885000 794
ANGN 5.080000 795
ANGO 1.962000 796
ANGPY 6.164000 797
ANIK 2.331000 801
ANIOY 1.948000 802
ANIP 2.119000 803
ANIX 9.198000 804
ANNX 2.693000 805
ANPC 129.870000 806
ANPDY 14.930000 807
ANSLY 2.727000 808
ANSS 7.138000 809
ANTE 1.925000 810
ANTM 2.877000 811
ANVS 70.930000 813
ANZBY 1.327000 817
ANZU 1.340000 818
AON 13.450000 823
AONE 1.456000 824
AONNY 2.435000 825
AOS 6.170000 826
AOSL 2.450000 827
AOUT 1.650000 828
AOZOY 0.562900 830
AP 1.613000 831
APAM.AS 22.080000 833
APAM 22.080000 834
APD 5.187000 837
APDN 2.411000 838
APEI 1.307000 839
APELY 0.722400 840
APEN 70.830000 841
APG 2.357000 844
APH.L 7.353000 846
APH 7.353000 847
API 5.415000 848
APLE 1.193000 849
APLS 88.630000 851
APLS.L 88.630000 852
APLT 3.773000 853
APM 2.331000 854
APNHY 1.183000 855
APO 9.722000 856
APOG 1.984000 857
APOP 2.482000 858
APPF 16.080000 861
APPH 3.722000 862
APPN 21.180000 863
APPS 52.960000 864
APRE 1.272000 867
APRN 1.779000 868
APSG 1.264000 869
APT 1.800000 870
APTO 4.236000 873
APTS 0.352000 874
APTV 5.053000 875
APTX 1.186000 876
APVO 10.490000 877
APWC 0.359800 878
APXT 1.618000 879
APYX 5.648000 880
AQB 1.656000 881
AQMS 5.609000 882
AQN 1.842000 883
AQSP 1.873000 885
AQUA 7.136000 887
AR 0.689400 889
ARAV 1.504000 890
ARAY 4.867000 891
ARBG 1.312000 894
ARC 0.600700 896
ARCB 2.348000 898
ARCC 1.116000 899
ARCE 4.036000 900
ARCH 3.152000 901
ARCO 7.873000 902
ARCT 2.177000 903
ARDX 5.456000 906
ARE 2.000000 907
ARE.L 2.000000 908
ARES 10.340000 910
ARGO 1.119000 912
ARGX 8.608000 913
ARGX 8.608000 914
ARI 0.955200 916
ARKAY 1.604000 918
ARKO 7.210000 919
ARKR 1.744000 920
ARL 0.708500 921
ARL.DE 0.708500 922
ARLO 4.024000 923
ARLP 0.715100 924
ARMK 3.632000 925
ARMP 2.977000 926
ARNA 3.461000 927
ARNC 2.673000 928
AROC 1.534000 930
AROW 1.658000 932
ARPO 2.027000 933
ARQT 2.920000 934
ARR.L 0.830900 935
ARR 0.830900 936
ARRW 1.339000 937
ARTL 2.215000 940
ARTNA 2.262000 941
ARTNB 2.239000 942
ARTW 1.480000 943
ARVN 5.485000 945
ARW.L 1.735000 946
ARW 1.735000 947
ARWR 17.000000 948
ARXRF 1.734000 949
ARYA 1.367000 950
ARYD 1.420000 951
ARZGY 0.871000 952
ASAI.L 17.330000 953
ASAZY 4.674000 957
ASB 0.934400 958
ASBFY 1.962000 959
ASC 0.468700 960
ASC.L 0.468700 961
ASCCY 3.293000 962
ASEKY 0.773700 966
ASGN 3.366000 969
ASH 1.835000 970
ASHTY 7.771000 972
ASIX 1.901000 975
ASLE 1.439000 978
ASLN 2.571000 980
ASM.AS 1.708000 981
ASMB 0.641600 982
ASML 17.340000 983
ASML.AS 17.340000 984
ASMVY 3.247000 985
ASND 7.107000 986
ASO 2.932000 987
ASOMY 5.310000 988
ASOZY 0.925800 989
ASPL 1.427000 992
ASPL.L 1.427000 993
ASPN 8.512000 994
ASPU 2.992000 996
ASR 3.115000 997
ASRT 0.738500 999
ASRV 0.667600 1000
ASTC 2.061000 1002
ASTE 2.340000 1003
ASTS 2.433000 1005
ASUR 1.097000 1006
ASX 2.121000 1007
ASXC 2.730000 1008
ASXFY 4.034000 1009
ASYS 1.745000 1011
ASZ 1.554000 1012
ATA.PA 7235.500000 1015
ATASY 2.001000 1018
ATC 5.657000 1019
ATCO 0.912600 1021
ATDRY 16.030000 1023
ATEC 13.090000 1026
ATEN 6.111000 1027
ATER 15.430000 1028
ATEX 3.986000 1029
ATEYY 7.610000 1030
ATGE 1.397000 1032
ATGN 3.551000 1033
ATH 0.698000 1034
ATHA 1.977000 1035
ATHE 1.775000 1036
ATHM 3.596000 1037
ATHN 1.399000 1038
ATHX 9.588000 1039
ATI 6.533000 1040
ATKR 6.424000 1042
ATLC 5.567000 1043
ATLCY 9.150000 1044
ATLKY 10.740000 1045
ATLO 1.135000 1046
ATNI 1.169000 1051
ATNM 2.150000 1052
ATNX 2.845000 1053
ATO 1.657000 1054
ATO.PA 1.657000 1055
ATOM 11.570000 1056
ATOS 2.750000 1057
ATR 5.075000 1059
ATR.L 5.075000 1060
ATRA 2.882000 1061
ATRC 8.586000 1062
ATRI 4.586000 1063
ATRO 2.036000 1064
ATROB 1.936000 1065
ATRS 5.443000 1066
ATSG 2.026000 1069
ATTO 5.082000 1073
ATUSF 2.160000 1075
ATVI 4.929000 1076
ATXI 57.570000 1078
AU 2.732000 1081
AUB 1.198000 1082
AUBN 1.321000 1083
AUCOY 5.783000 1085
AUD 1.006000 1086
AUDC 5.162000 1087
AUMN 9.701000 1092
AUOTY 1.168000 1093
AUPH 4.929000 1094
AUS 1.576000 1096
AUTL 1.497000 1098
AUTO.L 2.199000 1100
AUTO 2.199000 1101
AUUD 3.646000 1102
AUVI 4.813000 1103
AUY 1.128000 1104
AVA 1.504000 1108
AVAH 7.901000 1109
AVAL 1.222000 1110
AVAV 5.174000 1113
AVB 2.670000 1114
AVCO 21.250000 1116
AVD 1.576000 1118
AVDL 3.364000 1119
AVEO 3.386000 1120
AVGO 7.965000 1122
AVGR 4.797000 1123
AVGR 4.797000 1124
AVIFY 6.741000 1128
AVIR 2.900000 1129
AVLNF 0.583700 1130
AVLR 10.440000 1131
AVNS 1.538000 1132
AVNT 2.779000 1133
AVNW 2.272000 1134
AVO 3.027000 1135
AVRO 1.605000 1137
AVT 1.124000 1139
AVTR 10.330000 1140
AVXL 11.450000 1143
AVY 11.470000 1144
AVYA 8.360000 1145
AWH 11.640000 1148
AWI 10.630000 1149
AWK 4.229000 1150
AWR 4.508000 1151
AWRE 1.793000 1152
AWX 0.422800 1154
AX 2.083000 1155
AXAHY 0.744600 1156
AXGN 6.978000 1159
AXL 3.207000 1160
AXLA 2.013000 1161
AXNX 8.046000 1162
AXON 8.925000 1163
AXP 5.248000 1164
AXR 1.227000 1165
AXS.L 0.970100 1166
AXS 0.970100 1167
AXSM 23.610000 1168
AXTA 5.508000 1169
AXTI 2.296000 1170
AXU 3.409000 1171
AY 2.448000 1172
AYALY 2.172000 1174
AYI 3.419000 1175
AYLA 2.372000 1176
AYRO 1.976000 1178
AYTU 0.896800 1180
AYX 11.450000 1181
AZEK 4.966000 1182
AZN 10.350000 1185
AZN.L 10.350000 1186
AZPN 12.970000 1188
AZRE 2.759000 1189
AZRX 4.569000 1190
AZYO 7.706000 1192
AZZ 2.125000 1193
B 1.961000 1194
BABA 4.052000 1202
BAC 1.460000 1204
BAESY 3.826000 1207
BAH 10.800000 1210
BAK 107.140000 1211
BALY 5.442000 1215
BAM 2.402000 1216
BANC 1.250000 1219
BAND 6.649000 1220
BANF 2.060000 1221
BANR 1.256000 1223
BAOS 1.967000 1226
BAP 1.609000 1227
BASFY 1.668000 1237
BATL 3.538000 1239
BAX 4.867000 1242
BAYRY 1.680000 1244
BB 3.754000 1245
BBAR 0.480100 1247
BBBY 2.256000 1250
BBCP 1.690000 1251
BBDC 0.938600 1253
BBGI 0.315900 1257
BBGI.L 0.315900 1258
BBI 1.900000 1260
BBKCF 43.730000 1264
BBL 3.151000 1265
BBQ 4.338000 1268
BBSI 3.096000 1269
BBVA 0.767000 1274
BBVA 0.767000 1275
BBW 3.416000 1276
BBY.L 6.449000 1277
BBY 6.449000 1278
BC 4.842000 1279
BCAB 7.196000 1281
BCBP 0.995000 1286
BCC 2.649000 1287
BCDA 3.691000 1288
BCE 3.149000 1289
BCEI 1.303000 1290
BCEL 1.455000 1291
BCH 1.864000 1292
BCLI 3.612000 1297
BCML 0.789300 1298
BCNAY 2.283000 1300
BCO 37.960000 1301
BCOR 2.391000 1304
BCOV 6.792000 1305
BCOW 1.191000 1306
BCPC 5.005000 1307
BCS 0.504600 1310
BCSF 0.951200 1312
BCTF 0.831500 1314
BCTG 1.444000 1315
BCUCY 12.090000 1317
BCYC 5.056000 1319
BCYP 1.341000 1320
BDC 2.668000 1321
BDL 1.102000 1323
BDN 1.356000 1324
BDNNY 1.993000 1325
BDORY 0.775400 1326
BDR 9.934000 1327
BDRFY 3.502000 1328
BDSI 3.178000 1329
BDSX 10.370000 1330
BDTX 1.758000 1332
BDVSY 2.807000 1333
BDX 2.823000 1334
BE 677.610000 1335
BEAM 11.830000 1337
BEBE 1.988000 1339
BECN 2.534000 1340
BEDU 1.036000 1341
BEEM 8.490000 1342
BEKE 5.780000 1346
BELFA 1.127000 1348
BELFB 1.099000 1349
BEN 1.632000 1355
BENE 5922.800000 1356
BENE.L 5922.800000 1357
BEP 2.447000 1359
BERY 3.476000 1362
BEST 1.939000 1364
BFAM 6.283000 1368
BFC 1.798000 1369
BFI 0.754300 1370
BFIN 0.911900 1371
BFLBY 0.926000 1373
BFLY 5.009000 1374
BFS 4.000000 1376
BFST 1.206000 1379
BG 2.069000 1380
BG 2.069000 1381
BGAOY 1.897000 1382
BGCP 2.744000 1384
BGFV 2.811000 1388
BGI 123.470000 1390
BGNE 8.048000 1392
BGS 2.303000 1394
BGS.L 2.303000 1395
BGSF 1.844000 1397
BGSX 1.332000 1398
BH 0.769000 1400
BHAT 0.664800 1402
BHB 1.124000 1403
BHE 1.148000 1405
BHF 0.277300 1406
BHLB 1.204000 1408
BHP 3.837000 1410
BHP.L 3.837000 1411
BHSE 1.239000 1413
BHTG 16.900000 1414
BHWB 1.062000 1416
BICEY 1.969000 1417
BIDU 1.939000 1419
BIG 1.773000 1421
BIGC 18.400000 1422
BIIB 3.768000 1423
BILI 10.780000 1426
BILL 14.090000 1427
BIMI 1.300000 1429
BIO 1.679000 1430
BIO 1.679000 1431
BIOC 2.303000 1434
BIOL 3.161000 1436
BIOT 1.310000 1441
BIOT.L 1.310000 1442
BIOX 10.270000 1443
BIP 2.920000 1444
BIVI 17.850000 1447
BJ 14.740000 1448
BJRI 3.984000 1449
BK 1.129000 1450
BKCC 0.939200 1451
BKD 1.828000 1452
BKE 4.864000 1453
BKGM 0.693900 1457
BKH 1.566000 1458
BKHYY 0.904400 1460
BKI 4.418000 1461
BKNG 20.120000 1462
BKR 1.944000 1464
BKSC 2.065000 1466
BKTI 2.211000 1468
BKU 1.456000 1469
BKYI 1.622000 1475
BL 17.770000 1476
BLCT 2.208000 1479
BLD 4.747000 1480
BLDE 2.916000 1481
BLDP 3.617000 1482
BLDR 1.876000 1483
BLFS 6.433000 1484
BLHEY 0.992500 1485
BLI 12.370000 1487
BLIN 3.077000 1488
BLK 3.778000 1489
BLKB 8.263000 1490
BLL 7.629000 1491
BLMN 67.470000 1492
BLNK 6.067000 1494
BLPH 1.228000 1497
BLRX 5.992000 1498
BLSA 1.367000 1500
BLSFY 1.567000 1501
BLTS 11607.810000 1503
BLUE 1.782000 1504
BLX 0.582900 1509
BMA 0.542900 1510
BMBL 3.956000 1511
BMI 7.533000 1516
BMNM 0.447000 1520
BMO 1.669000 1521
BMRA 4.248000 1523
BMRC 1.269000 1524
BMRN 3.397000 1525
BMRRY 6.497000 1526
BMTC 1.512000 1528
BMTX 5.207000 1529
BMWYY 0.931000 1534
BMY 3.902000 1535
BMY.L 3.902000 1536
BNCC 1.110000 1540
BNCDY 2.042000 1541
BNED 1.157000 1542
BNGO 4.782000 1544
BNL 1.374000 1548
BNPQY 0.646200 1550
BNR.DE 8.525000 1551
BNR 8.525000 1552
BNS 1.639000 1553
BNSO 2.221000 1554
BNTC 3.379000 1555
BNTGY 3.304000 1556
BNTX 16.170000 1557
BOAC 1.422000 1559
BOAS 1.340000 1560
BOCH.L 1.405000 1561
BOCH 1.405000 1562
BOH 2.643000 1564
BOKF 1.214000 1567
BOLT 2.205000 1570
BOMN 1.894000 1571
BOOM.L 4.626000 1573
BOOM 4.626000 1574
BOOT.L 5.779000 1575
BOOT 5.779000 1576
BOREF 3.311000 1578
BORR 0.247300 1579
BOSC 1.444000 1581
BOSSY 4.284000 1583
BOTJ 1.246000 1585
BOWX 1.652000 1587
BOX 24.630000 1588
BOXL 3.022000 1589
BOZTY 6.790000 1591
BP.L 1.170000 1592
BP 1.170000 1593
BP.A.L 1.170000 1594
BP.B.L 1.170000 1595
BPFH 1.478000 1600
BPMC 3.890000 1601
BPOP 1.123000 1602
BPOSY 3.364000 1604
BPRN 0.956000 1605
BPTH 1.260000 1607
BPTS 14.700000 1608
BPY 0.675300 1609
BPYU 0.324000 1610
BQ 29.830000 1611
BR 11.660000 1612
BRBS 1.355000 1614
BRC 3.132000 1617
BRDCY 1.357000 1619
BREZ 5850.000000 1625
BRFS 2.776000 1627
BRID 2.143000 1630
BRKL 1.384000 1635
BRKR 10.870000 1636
BRKS 5.857000 1637
BRLI 1.310000 1639
BRLXF 3.684000 1641
BRMK 1.174000 1642
BRO 3.856000 1647
BROG 7.506000 1648
BRP 6.105000 1649
BRPA 30.840000 1650
BRPM 1.251000 1651
BRTHY 1.197000 1659
BRX 2.500000 1663
BRY 0.736300 1664
