# tag pbvalue
VOD.L 0.794200
TSLA 26.250000
A 8.664000
AA.L 2.241000
AA 2.241000
AAC 1.316000
AACAY 2.280000
AACG 3.441000
AACQ 180.400000
AAGIY 2.536000
AAIC 0.660800
AAME 0.660700
AAN 1.754000
AAOI 0.792000
AAON 9.866000
AAP 3.461000
AAPL 30.350000
AAU.L 1.148000
AAVMY 0.504300
AAWW 0.919800
AB 2.774000
ABB 5.055000
ABBV 14.510000
ABCB 1.393000
ABCL 7.674000
ABCM 5.334000
ABCP 1.910000
ABEO 1.731000
ABEPF 2.322000
ABEV 3.700000
ABG 3.866000
ABGI 1.312000
ABIO 0.754300
ABM 2.141000
ABMD 9.749000
ABML 205.890000
ABNB 28.100000
ABR 1.678000
ABT 6.151000
ABTX 1.077000
AC 0.891600
AC.PA 0.891600
ACA 1.606000
ACA.PA 1.606000
ACAC 1.405000
ACAD 6.078000
ACAH 1.495000
ACAN 5.706000
ACB 1.027000
ACBI 1.685000
ACC 2.081000
ACCD 7.662000
ACCO 1.218000
ACCYY 2.062000
ACEL 9.244000
ACER 4.055000
ACET 1.757000
ACEV 1.548000
ACGL 1.300000
ACH 1.190000
ACHC 2.491000
ACHL 2.906000
ACHV 1.627000
ACI.L 6.686000
ACI 6.686000
ACIU 2.122000
ACIW 3.839000
ACLS 2.826000
ACM 3.399000
ACMR 9.841000
ACN 9.722000
ACNB 0.969500
ACND 1.390000
ACOPY 3.599000
ACOR 0.114600
ACRDF 1.153000
ACRHF 2.029000
ACRS 10.110000
ACSAY 1.986000
ACST 4.052000
ACTC 4.167000
ACTG 2.243000
ACU 2.291000
ACUIF 20.550000
ACVA 6.729000
ADAP 2.545000
ADBE 17.610000
ADC 1.601000
ADCT 5.716000
ADDYY 8.957000
ADER 1.360000
ADES.L 1.518000
ADES 1.518000
ADEX 13588.780000
ADI 4.992000
ADIL 7.540000
ADM.L 1.785000
ADM 1.785000
ADMA 1.983000
ADMP 28.100000
ADMS 38.700000
ADMT 3.243000
ADN 4.473000
ADNT 3.159000
ADOM 13.860000
ADP 14.790000
ADP.PA 14.790000
ADPT 7.315000
ADPXY 104.930000
ADRA 1.246000
ADRNY 1.961000
ADRZY 3.945000
ADS 3.408000
ADS.DE 3.408000
ADSK 66.780000
ADT 2.889000
ADTN 2.622000
ADTX 3.403000
ADUS 2.883000
ADV.L 1.634000
ADV 1.634000
ADV.DE 1.634000
ADVM 0.835800
ADXN 3.245000
ADXS 1.799000
ADYEY 46.700000
AE 0.757200
AEAC 12556.310000
AEE 2.340000
AEG.L 0.346300
AEHL 0.807200
AEHR 4.816000
AEI 0.677700
AEIS 4.640000
AEL 0.491700
AEM 3.063000
AEMD 1.845000
AENZ 0.780000
AEO 5.540000
AEP 2.039000
AEP.L 2.039000
AER 0.843800
AES 7.228000
AESE 2.948000
AEXAY 0.870000
AEY 2.739000
AEYE 8.606000
AEZS 1.624000
AFBI 0.737000
AFCG 1.420000
AFG 1.690000
AFI 0.533200
AFIB 4.157000
AFIN 0.606200
AFL 1.203000
AFMD 12.170000
AFRM 6.330000
AFTPY 16.210000
AFYA 3.980000
AG 5.164000
AGBA 1.243000
AGC 2.006000
AGCB 1.366000
AGCO 3.388000
AGESY 0.850500
AGFS 0.445100
AGFY 1.286000
AGIO 1.529000
AGLE 2.678000
AGLXY 0.950000
AGM 1.541000
AGM.L 1.541000
AGMH 93.400000
AGNC 0.983900
AGO 0.556800
AGOL 6.426000
AGR 1.323000
AGR 1.323000
AGR.L 1.323000
AGRO 1.298000
AGRO 1.298000
AGRPY 1.058000
AGRX 4.129000
AGS 8.185000
AGS 8.185000
AGTC 1.842000
AGTI 5.869000
AGX 2.439000
AGYS 15.600000
AHAC 1.529000
AHC 0.903100
AHCHY 1.291000
AHCO 1.928000
AHEXY 2.787000
AHKSY 1.147000
AHPI 1.624000
AI.PA 5.945000
AI 5.945000
AIAGY 0.994300
AIG 0.727800
AIH 3.625000
AIHS 14.250000
AIKI 0.926400
AIM 1.389000
AIMC 2.127000
AIN 3.460000
AINV 0.884100
AIQUY 3.524000
AIR.PA 1.566000
AIR.DE 1.566000
AIR 1.566000
AIR.L 1.566000
AIRC 5.463000
AIRG 4.110000
AIRI 2.598000
AIRT 3.111000
AIT 4.034000
AIV 2.017000
AIZ 1.678000
AJAX 1.270000
AJG 4.487000
AJG.L 4.487000
AJINY 2.135000
AJRD 13.980000
AJX 0.779300
AKABY 9.132000
AKAM 4.325000
AKBA 2.620000
AKBTY 0.393000
AKIC 15855.540000
AKOM 0.633300
AKRO 3.744000
AKTS 4.073000
AKTX 7.666000
AKUS 1.568000
AKZOY 3.440000
AL 0.836900
ALAC 6.683000
ALB 3.422000
ALBO 4.307000
ALBY 0.891700
ALC 1.816000
ALC 1.816000
ALC.SW 1.816000
ALCO 1.076000
ALDX 5.421000
ALE 1.544000
ALEC 6.355000
ALEX 1.236000
ALFVY 4.376000
ALG 2.847000
ALGM 8.645000
ALGN 14.000000
ALGS 5.715000
ALGT 5.707000
ALHC 13.250000
ALIZY 1.180000
ALJJ 4.208000
ALK 3.050000
ALKS 3.445000
