# ticker stockPrice numberOfShares marketCapitalization minusCashAndCashEquivalents addTotalDebt enterpriseValue dividendYielTTM dividendYielPercentageTTM peRatioTTM pegRatioTTM payoutRatioTTM currentRatioTTM quickRatioTTM cashRatioTTM daysOfSalesOutstandingTTM daysOfInventoryOutstandingTTM operatingCycleTTM daysOfPayablesOutstandingTTM cashConversionCycleTTM grossProfitMarginTTM operatingProfitMarginTTM pretaxProfitMarginTTM netProfitMarginTTM effectiveTaxRateTTM returnOnAssetsTTM returnOnEquityTTM returnOnCapitalEmployedTTM netIncomePerEBTTTM ebtPerEbitTTM ebitPerRevenueTTM debtRatioTTM debtEquityRatioTTM longTermDebtToCapitalizationTTM totalDebtToCapitalizationTTM interestCoverageTTM cashFlowToDebtRatioTTM companyEquityMultiplierTTM receivablesTurnoverTTM payablesTurnoverTTM inventoryTurnoverTTM fixedAssetTurnoverTTM assetTurnoverTTM operatingCashFlowPerShareTTM freeCashFlowPerShareTTM cashPerShareTTM operatingCashFlowSalesRatioTTM freeCashFlowOperatingCashFlowRatioTTM cashFlowCoverageRatiosTTM shortTermCoverageRatiosTTM capitalExpenditureCoverageRatioTTM dividendPaidAndCapexCoverageRatioTTM priceBookValueRatioTTM priceToBookRatioTTM priceToSalesRatioTTM priceEarningsRatioTTM priceToFreeCashFlowsRatioTTM priceToOperatingCashFlowsRatioTTM priceCashFlowRatioTTM priceEarningsToGrowthRatioTTM priceSalesRatioTTM dividendYieldTTM enterpriseValueMultipleTTM priceFairValueTTM tag_id
BARC.L 133.539993 17200000000.000000 2296887879600.000000 191127000000.000000 0.000000 2105760879600.000000 0.005534 0.553403 1184.849639 -31.215255 6.556999 None None None 0.000000 None None None None 0.000000 0.000000 0.214346 0.123634 0.226104 0.001903 0.039323 None 0.576796 None 0.000000 0.952039 20.174902 None None None None 21.191245 None None None None 0.015389 -0.412224 -0.510716 12.172875 -0.334177 1.238927 None None 4.185371 4.185371 47.772526 47.772526 146.487863 1184.849639 -353.817223 -438.353871 -438.353871 -31.215255 146.487863 0.005534 None 47.772526 0
BMW.DE 70.010002 658118053.000000 46074846206.766106 13537000000.000000 85071000000.000000 117608846206.766113 0.045411 4.541109 14.608879 -0.629364 0.663405 1.136793 0.259091 0.188111 0.000000 61.509987 61.509987 36.941036 -21.774190 0.132456 0.048350 0.053043 0.038345 0.261394 0.017424 0.063165 0.032897 0.722903 1.097059 0.048350 0.716050 2.547799 0.498133 0.582830 10.393013 0.155764 3.558128 None 9.880611 5.933996 1.541984 0.454394 20.106501 10.774754 28.291125 0.134599 0.535884 0.155764 0.537937 -2.154634 -2.154634 0.905692 0.905692 0.560179 14.608879 7.766303 4.161838 4.161838 -0.629364 0.560179 0.045411 11.623316 0.905692 2
DBK.DE 8.369000 2110000000.000000 17658590000.000000 175338000000.000000 154342000000.000000 -3337410000.000000 None None 14.368365 0.132492 None None None None 13.870840 None None None None 0.000000 0.000000 0.112420 0.068150 0.343684 0.001304 0.028120 None 0.606210 None 0.000000 0.951608 20.184530 0.706208 0.712629 0.000000 -0.138821 21.210968 26.314196 None None 4.619571 0.019136 -10.199886 -10.431257 111.367713 -0.848149 1.022684 -0.138821 -4.526996 44.084536 None 0.397444 0.397444 0.979208 14.368365 -1.128915 -1.154523 -1.154523 0.132492 0.979208 None None 0.397444 3
TSLA 793.530029 690000000.000000 547535720010.000000 19384000000.000000 11739000000.000000 539890720010.000000 None None 509.658399 2.908955 None 1.660617 1.279223 1.152181 19.194491 53.238025 57.970913 85.654983 -53.333308 0.211770 0.061324 0.044992 0.030940 0.222016 0.020992 0.062535 0.057855 0.687693 0.733666 0.061324 0.549498 1.264630 0.258377 0.290715 3.250737 0.850541 2.301429 19.015873 4.261282 6.856002 1.373066 0.678472 8.349636 2.500520 17.836629 0.223261 0.299477 0.850541 5.670671 -1.215573 None 24.622676 24.622676 15.769063 509.658399 235.846916 70.630626 70.630626 2.908955 15.769063 None 121.687667 24.622676 4
LLOY.L 33.000000 70606000000.000000 2329998000000.000000 73556000000.000000 0.000000 2256442000000.000000 0.011813 1.181347 1542.983446 -23.480183 18.227991 None None None 0.000000 None None None None 0.000000 0.000000 0.108379 0.078708 0.244590 0.002547 0.044384 None 0.726230 None 0.000000 0.943039 16.621856 None None None None 17.625849 None None None None 0.032364 0.080245 0.031398 1.179275 0.201976 0.391274 None None -1.642775 -1.642775 69.278340 69.278340 121.445112 1542.983446 1536.739359 601.285773 601.285773 -23.480183 121.445112 0.011813 None 69.278340 5
1COV.DE 56.160000 182728724.000000 10262045139.840000 1404000000.000000 2217000000.000000 11075045139.840000 0.044358 4.435770 13.084770 -0.777752 0.580410 2.684050 1.080700 0.801675 0.000000 85.444390 85.444390 62.354905 -41.286425 0.266607 0.106679 0.098308 0.074087 0.250000 0.060615 0.150032 0.107938 0.753623 0.921536 0.106679 0.531400 1.140935 None None 13.021739 None 2.147036 None 5.853589 4.271784 2.145587 0.818155 9.173716 5.679214 14.697619 0.157792 0.619074 None None -2.625185 -2.625185 1.702883 1.702883 0.969415 13.084770 9.923909 6.143639 6.143639 -0.777752 0.969415 0.044358 4.448089 1.702883 7
1SI.DE 43.209999 1455693000.000000 62900493074.307007 545618000.000000 1675169000.000000 64030044074.307007 None None -70.898221 -5.317367 None 4.307193 4.215103 1.286718 79.487423 0.000000 19.599638 34.313421 45.174002 0.523161 -0.312508 -0.322117 -0.329024 -0.021443 -0.183006 -0.439303 -0.204166 1.021443 1.030747 -0.312508 0.662729 1.964978 0.568207 None -10.090125 None 2.964978 4.591921 10.637237 None 6.307487 0.556208 -0.024667 -0.063153 1.702608 -0.013164 2.560217 None None 0.640936 None 38.469907 38.469907 23.327207 -70.898221 -692.127314 -1771.996155 -1771.996155 -5.317367 23.327207 None -84.671929 38.469907 11
A 116.900002 308000000.000000 36005200616.000000 1441000000.000000 2359000000.000000 36923200616.000000 0.005703 0.570339 49.545556 -1.570777 0.282578 2.064612 1.432128 0.787789 71.745931 106.894880 124.585657 56.349884 41.753689 0.533816 0.173418 0.169078 0.146474 0.133690 0.083730 0.166787 0.120070 0.866310 0.974974 0.173418 0.503411 1.013739 0.312634 0.342188 12.454545 0.487395 2.013739 5.087397 6.477387 3.414570 6.385681 0.571635 3.980392 3.568627 4.343137 0.220253 0.896552 0.487395 3.878981 -9.666667 -9.666667 8.353851 8.353851 7.257125 49.545556 36.750824 32.949015 32.949015 -1.570777 7.257125 0.005703 32.675554 8.353851 221
AA 18.000000 186226070.000000 3352069260.000000 1607000000.000000 2465000000.000000 4210069260.000000 None None -98.575666 -1.161063 None 1.518473 1.000000 0.789817 25.279284 62.798082 69.031330 56.903837 -16.140094 0.157442 0.066087 0.027212 -0.007673 0.751880 -0.005023 -0.021964 0.055167 -0.281955 0.411765 0.066087 0.673632 3.096675 0.405346 0.476720 4.088608 0.165596 4.596983 14.438700 6.414330 5.812279 1.410534 0.654678 2.631211 0.821582 13.660816 0.050128 0.312245 0.165596 0.657718 -1.454006 None 2.276224 2.276224 0.756335 -98.575666 48.321405 15.088112 15.088112 -1.161063 0.756335 None 8.184664 2.276224 223
AA4.L 32.000000 642250000.000000 20552000000.000000 174316084.000000 0.000000 20377683916.000000 0.110417 11.041667 -460.278302 0.924192 -50.822396 None None None 46.598759 None None None None 0.000000 0.000000 -0.193357 -0.193710 -0.001824 -0.017939 -0.052203 None 1.001824 None 0.000000 0.729444 2.696094 None None 0.000000 None 3.696094 7.832827 None None 0.108863 0.092606 0.434826 0.434826 0.269087 1.615384 1.000000 None None None None 30.517975 30.517975 89.160377 -460.278302 55.194525 55.194525 55.194525 0.924192 89.160377 0.110417 None 30.517975 224
