# tag pevalue tag_id
VOD.L 641.970000 1
TSLA 625.220000 4
A 46.350000 221
AACAY 32.200000 228
AAGIY 27.880000 234
AAIC 8.140000 235
AAMC 0.284000 240
AAME 4.811000 241
AAON 48.360000 245
AAP 26.540000 246
AAPL 27.970000 250
AAVMY 50.320000 255
AAWW 4.999000 256
AB 14.670000 258
ABB 13.660000 259
ABBV 40.000000 262
ABCB 10.390000 265
ABCL 40.440000 266
ABEV 22.900000 277
ABG 11.730000 279
ABM 75.590000 284
ABMD 57.720000 285
ABR 7.325000 291
ABT 36.570000 292
ABTX 13.840000 293
AC 7.404000 295
AC.PA 7.404000 296
ACA 34.320000 297
ACA.PA 34.320000 298
ACBI 17.470000 304
ACC 1179.000000 305
ACCO 25.310000 309
ACGL 9.825000 315
ACH 137.050000 316
ACI.L 12.500000 321
ACI 12.500000 322
ACIW 48.430000 325
ACLS 25.580000 327
ACMR 73.370000 329
ACN 33.430000 332
ACNB 9.201000 333
ACOPY 15.190000 336
ACSAY 13.670000 346
ACST 7.133000 348
ACU 16.990000 353
ACUIF 140.010000 354
ADBE 43.910000 364
ADC 39.930000 365
ADDYY 135.530000 367
ADI 39.280000 373
ADM.L 18.080000 379
ADM 18.080000 380
ADP 33.970000 390
ADP.PA 33.970000 391
ADRNY 20.840000 395
ADRZY 20.500000 396
ADS 12.620000 397
ADS.DE 12.620000 398
ADSK 49.030000 399
ADTN 70.750000 402
ADUS 46.240000 404
ADYEY 233.500000 414
AE 7.597000 416
AEE 22.040000 419
AEG.L 6.396000 420
AEIS 25.250000 425
AEL 4.260000 426
AEM 26.190000 427
AEO 49.210000 433
AEP 18.820000 434
AEP.L 18.820000 435
AEXAY 11.660000 444
AFG 8.016000 455
AFL 7.276000 460
AFYA 39.670000 467
AG 68.380000 468
AGCO 20.380000 475
AGESY 9.578000 481
AGIO 2.446000 490
AGM 10.170000 495
AGM.L 10.170000 496
AGNC 3.353000 500
AGO 9.488000 501
AGR 24.170000 503
AGR 24.170000 504
AGR.L 24.170000 505
AGRO 16.940000 506
AGRO 16.940000 507
AGRPY 23.020000 508
AGX 32.590000 517
AHCHY 5.939000 522
AHEXY 25.340000 524
AHKSY 20.660000 525
AIAGY 5.472000 532
AIMC 32.680000 550
AIN 24.750000 551
AINV 8.279000 553
AIQUY 28.640000 554
AIR.PA 321.150000 555
AIR.DE 321.150000 556
AIR 321.150000 557
AIR.L 321.150000 558
AIT 33.320000 564
AIZ 22.700000 567
AJG 33.860000 570
AJG.L 33.860000 571
AJINY 23.180000 572
AJRD 32.300000 575
AJX 10.410000 576
AKABY 470.700000 578
AKAM 32.170000 579
AKBTY 3.731000 581
AKZOY 28.400000 593
AL 12.010000 594
ALB 49.870000 597
ALBY 8.817000 600
ALCO 8.556000 605
ALE 22.510000 608
ALEX 147.770000 611
ALFVY 35.080000 616
ALG 31.210000 617
ALGM 325.260000 620
ALGN 102.630000 621
ALIZY 11.780000 630
ALL 12.150000 636
ALLE 30.740000 637
ALLY 9.384000 644
ALOT 89.240000 653
ALPMY 23.020000 655
ALRM 49.620000 660
ALRS 10.730000 662
ALSN 17.060000 666
ALSN.SW 17.060000 667
ALTA 20.630000 670
ALTM 73.370000 672
ALTO 24.700000 674
ALV 34.650000 680
ALV.DE 34.650000 681
ALX 25.130000 685
ALXN 57.700000 686
AM 13.150000 689
AM.PA 13.150000 690
AMAL 10.430000 694
AMAL.L 10.430000 695
AMAT 28.840000 698
AMBBY 214.900000 700
AMBZ 9.988000 704
AMCR 21.420000 707
AMCX 9.904000 709
AMD.DE 34.080000 710
AMD 34.080000 711
AME 38.710000 714
AMED 42.640000 715
AMEH 28.830000 716
AMG 20.270000 720
AMG.AS 20.270000 721
AMGN 19.710000 722
AMH 126.900000 724
AMIGY 17.620000 726
AMKBY 10.090000 728
AMKR 13.020000 729
AMN 33.100000 733
AMNB 11.600000 734
AMOT 23.650000 738
AMOV 13.970000 739
AMPH 730.700000 743
AMRB 13.660000 747
AMRC 45.180000 748
AMRK 3.418000 749
AMSF 13.350000 758
AMSSY 171.280000 760
AMSWA 118.350000 762
AMT 59.270000 763
AMTB 96.480000 764
AMTBB 70.600000 765
AMWD 25.150000 770
AMX 14.130000 772
AMZN 61.330000 779
AN 10.410000 781
ANAT 4.701000 785
ANDE 17.080000 788
ANET 39.790000 791
ANGI 3701.380000 794
ANGPY 17.660000 797
ANIOY 32.710000 802
ANPDY 72.510000 807
ANSLY 21.520000 808
ANSS 64.250000 809
ANTE 5.333000 810
ANTM 21.320000 811
ANZBY 18.070000 817
AON 27.690000 823
AOS 29.490000 826
AOSL 22.910000 827
AOZOY 13.980000 830
AP 29.290000 831
APAM.AS 12.800000 833
APAM 12.800000 834
APD 35.250000 837
APEI 17.610000 839
APH.L 32.180000 846
APH 32.180000 847
APM 14.000000 854
APNHY 19.460000 855
APO 7.535000 856
APOG 69.110000 857
APPF 30.660000 861
APPS 159.880000 864
APR 25.600000 866
APT 4.478000 870
APTV 89.010000 875
APWC 211.500000 878
AQN 10.050000 883
AQSP 74.830000 885
AQUA 58.720000 887
ARAY 105.980000 891
ARC 14.330000 896
ARCB 22.370000 898
ARCC 5.644000 899
ARCE 375.930000 900
ARE 31.000000 907
ARE.L 31.000000 908
ARES 38.320000 910
ARI 12.520000 916
ARKAY 25.680000 918
ARL 7.053000 921
ARL.DE 7.053000 922
ARLP 19.870000 924
AROW 12.520000 932
ARR.L 3.028000 935
ARR 3.028000 936
ARTNA 22.780000 941
ARTNB 22.650000 942
ARW.L 12.520000 946
ARW 12.520000 947
ARZGY 16.340000 952
ASAZY 31.470000 957
ASB 10.550000 958
ASBFY 49.560000 959
ASEKY 59.100000 966
ASGN 26.710000 969
ASH 42.150000 970
ASHTY 41.510000 972
ASIX 13.710000 975
ASML 53.450000 983
ASML.AS 53.450000 984
ASMVY 19.370000 985
ASO 10.310000 987
ASOMY 29.160000 988
ASOZY 13.670000 989
ASR 38.650000 997
ASRV 13.930000 1000
ASTE 44.790000 1003
ASX 227.090000 1007
ASXFY 33.860000 1009
ATCO 21.030000 1021
ATEN 37.420000 1027
ATEYY 36.630000 1030
ATGN 56.420000 1033
ATH 3.982000 1034
ATHM 11.600000 1037
ATKR 13.020000 1042
ATLC 6.256000 1043
ATLCY 37.060000 1044
ATLKY 43.770000 1045
ATLO 10.810000 1046
ATO 18.030000 1054
ATO.PA 18.030000 1055
ATR 40.810000 1059
ATR.L 40.810000 1060
ATRI 36.810000 1063
ATRS 11.030000 1066
ATUS 26.510000 1074
ATVI 32.740000 1076
AU 14.580000 1081
AUB 16.280000 1082
AUBN 17.770000 1083
AUCOY 10.870000 1085
AUDC 34.350000 1087
