# tag, sector, industry, tag_id
VOD.L, Communication Services, Telecom Services, 1
TSLA, Consumer Cyclical, Auto Manufacturers, 4
A, Healthcare, Diagnostics & Research, 221
AA.L, Basic Materials, Aluminum, 222
AA, Basic Materials, Aluminum, 223
AAC, Financial Services, Shell Companies, 227
AACAY, Technology, Communication Equipment, 228
AACG, Consumer Defensive, Education & Training Services, 229
AACQ, Financial Services, Shell Companies, 230
AAGIY, Financial Services, Insurance - Life, 234
AAIC, Real Estate, REIT - Mortgage, 235
AAL.L, Industrials, Airlines, 237
AAL, Industrials, Airlines, 238
AAMC, Financial Services, Asset Management, 240
AAME, Financial Services, Insurance - Life, 241
AAN, Consumer Cyclical, Specialty Retail, 242
AAOI, Technology, Semiconductors, 244
AAON, Industrials, Building Products & Equipment, 245
AAP, Consumer Cyclical, Specialty Retail, 246
AAPL, Technology, Consumer Electronics, 250
AAQC, Financial Services, Shell Companies, 251
AAU.L, Basic Materials, Gold, 254
AAVMY, Financial Services, Banks - Diversified, 255
AAWW, Industrials, Airports & Air Services, 256
AB, Financial Services, Asset Management, 258
ABB, Industrials, Electrical Equipment & Parts, 259
ABBB, Financial Services, Banks - Regional, 260
ABBV, Healthcare, Drug Manufacturers - General, 262
ABC, Healthcare, Medical Distribution, 263
ABC.L, Healthcare, Medical Distribution, 264
ABCB, Financial Services, Banks - Regional, 265
ABCL, Healthcare, Biotechnology, 266
ABCM, Healthcare, Biotechnology, 267
ABCP, Real Estate, Real Estate Services, 268
ABEO, Healthcare, Biotechnology, 275
ABEPF, Basic Materials, Other Industrial Metals & Mining, 276
ABEV, Consumer Defensive, Beverages - Brewers, 277
ABG, Consumer Cyclical, Auto & Truck Dealerships, 279
ABGI, Financial Services, Shell Companies, 280
ABIO, Healthcare, Biotechnology, 282
ABLT, Basic Materials, Specialty Chemicals, 283
ABM, Industrials, Specialty Business Services, 284
ABMD, Healthcare, Medical Devices, 285
ABML, Basic Materials, Other Industrial Metals & Mining, 286
ABNB, Communication Services, Internet Content & Information, 288
ABR, Real Estate, REIT - Mortgage, 291
ABT, Healthcare, Medical Devices, 292
ABTX, Financial Services, Banks - Regional, 293
ABUS, Healthcare, Biotechnology, 294
AC, Financial Services, Capital Markets, 295
AC.PA, Financial Services, Capital Markets, 296
ACA, Industrials, Infrastructure Operations, 297
ACA.PA, Industrials, Infrastructure Operations, 298
ACAC, Financial Services, Shell Companies, 299
ACAD, Healthcare, Biotechnology, 300
ACAH, Financial Services, Shell Companies, 301
ACAN, Real Estate, Real Estate Services, 302
ACB, Healthcare, Drug Manufacturers - Specialty & Generic, 303
ACBI, Financial Services, Banks - Regional, 304
ACC, Real Estate, REIT - Residential, 305
ACCD, Healthcare, Health Information Services, 307
ACCO, Industrials, Business Equipment & Supplies, 309
ACCYY, Consumer Cyclical, Lodging, 310
ACEL, Consumer Cyclical, Gambling, 311
ACER, Healthcare, Biotechnology, 312
ACET, Healthcare, Biotechnology, 313
ACEV, Financial Services, Shell Companies, 314
ACGL, Financial Services, Insurance - Diversified, 315
ACH, Basic Materials, Aluminum, 316
ACHC, Healthcare, Medical Care Facilities, 317
ACHL, Healthcare, Biotechnology, 319
ACHV, Healthcare, Biotechnology, 320
ACI.L, Consumer Defensive, Grocery Stores, 321
ACI, Consumer Defensive, Grocery Stores, 322
ACIC, Financial Services, Shell Companies, 323
ACIU, Healthcare, Biotechnology, 324
ACIW, Technology, Software - Infrastructure, 325
ACLS, Technology, Semiconductor Equipment & Materials, 327
ACM, Industrials, Engineering & Construction, 328
ACMR, Technology, Semiconductor Equipment & Materials, 329
ACMT, Financial Services, Insurance - Specialty, 330
ACMTA, Financial Services, Insurance - Specialty, 331
ACN, Technology, Information Technology Services, 332
ACNB, Financial Services, Banks - Regional, 333
ACND, Financial Services, Shell Companies, 334
ACOPY, Consumer Defensive, Farm Products, 336
ACOR, Healthcare, Biotechnology, 337
ACQR, Financial Services, Shell Companies, 339
ACRDF, Healthcare, Drug Manufacturers - Specialty & Generic, 340
ACRHF, Healthcare, Drug Manufacturers - Specialty & Generic, 341
ACRL.L, Basic Materials, Other Industrial Metals & Mining, 342
ACRS, Healthcare, Biotechnology, 343
ACRX, Healthcare, Drug Manufacturers - Specialty & Generic, 344
ACSAY, Industrials, Engineering & Construction, 346
ACST, Healthcare, Biotechnology, 348
ACTC, Financial Services, Shell Companies, 351
ACTG, Industrials, Specialty Business Services, 352
ACU, Consumer Defensive, Household & Personal Products, 353
ACUIF, Communication Services, Internet Content & Information, 354
ACVA, Technology, Software - Application, 355
ACY, Industrials, Rental & Leasing Services, 359
ADAG, Healthcare, Biotechnology, 362
ADAP, Healthcare, Biotechnology, 363
ADBE, Technology, Software - Infrastructure, 364
ADC, Real Estate, REIT - Retail, 365
ADCT, Healthcare, Biotechnology, 366
ADDYY, Consumer Cyclical, Footwear & Accessories, 367
ADER, Financial Services, Shell Companies, 369
ADES.L, Industrials, Pollution & Treatment Controls, 370
ADES, Industrials, Pollution & Treatment Controls, 371
ADEX, Financial Services, Shell Companies, 372
ADI, Technology, Semiconductors, 373
ADIL, Healthcare, Biotechnology, 375
ADM.L, Consumer Defensive, Farm Products, 379
ADM, Consumer Defensive, Farm Products, 380
ADMA, Healthcare, Biotechnology, 381
ADMP, Healthcare, Drug Manufacturers - Specialty & Generic, 382
ADMS, Healthcare, Drug Manufacturers - Specialty & Generic, 383
ADMT, Healthcare, Medical Devices, 384
ADN, Utilities, Utilities - Renewable, 385
ADNT, Consumer Cyclical, Auto Parts, 387
ADOC, Financial Services, Shell Companies, 388
ADOM, Consumer Cyclical, Auto Parts, 389
ADP, Industrials, Staffing & Employment Services, 390
ADP.PA, Industrials, Staffing & Employment Services, 391
ADPT, Healthcare, Biotechnology, 392
ADPXY, Technology, Consumer Electronics, 393
ADRA, Financial Services, Shell Companies, 394
ADRNY, Consumer Defensive, Grocery Stores, 395
ADRZY, Industrials, Industrial Distribution, 396
ADS, Financial Services, Credit Services, 397
